No ,Questions,aeyeconsult
136,What are appropariate traumatic Anterior Uveitis treatment plans,
137,What are appropariate traumatic Glaucoma treatment plans,
138,What is the seidel sign,
139,What are appropriate traumatic Retinal Hemorrhage treatment plans,
140,"What are signs, symptoms and treatment of Tear Duct Obstruction ",
141,How should I manage a patient with eyeball subluxation,
142,What are corneal Infiltrates signs,
143,What is the treatment for pterygium trauma ,
144,How should I manage a patient with Orbital Apex Syndrome,
145,How should I manage a patient with a globe lacteration from spectacles,
146,How should I manage a patient with chemical and thermal treatment management of the eye,
147,How should I manage a patient with a globe laceration from animal bite,
148,How should I manage a patient with an open globe rupture from fan blade ,
149,How should I manage a patient with chemical trauma from hair dye,
150,How should I manage a patient with a Corneal lacteration from stone,
151,How should I manage a patient with Periorbital thermal burns,
152,How should I manage a patient with Chemical burns from pesticides,
153,How should I manage a patient with an open globe with penetrating injury with no light perception,
154,How should I manage a patient with traumatic optic neuropathy,
155,How should I manage a patient with features of intracranial injury,
156,How should I manage a patient with Iris Sphincter Rupture,
157,How should I manage a patient with features of non-orbital facial features,
158,How should I manage a patient with features of polytrauma,
159,What are signs of life threatening injuries associated with blunt/sharp trauma,
160,What are subtypes of vitreous injuries,
161,What are subtypes of retinal  injuries,
162,What are subtypes of conjunctival injuries,
163,What are subtypes of corneal injuries,
164,What are subtypes of chorodial involevement,
165,What are subtypes of scleral injuries,
166,What are subtypes of iris injuries,
167,What are subtypes of lens injuries,
168,What are complications associated with abnormal intraocular pressure,
169,What are subtypes of nasolacrimal injuries,
170,What are subtypes of open globe injury zones,
171,What are subtypes of orbital injuries,
172,What are preventive measures for traumatic induced cataract,
